# Wlen(nm) Flux Flux_err
1.923039168518277847e+03 9.121968285262431753e-01 5.274589710573809528e-03
1.923045738294330476e+03 9.078671484231141120e-01 5.271193943800618793e-03
1.923052307951078319e+03 9.104027554547000634e-01 5.273707237631966062e-03
1.923058877488517510e+03 9.148477328851432056e-01 5.275326876563776746e-03
1.923065446906644183e+03 9.094924105552255611e-01 5.284781340280222950e-03
1.923072016205454247e+03 9.160331014335809652e-01 5.270544450879895322e-03
1.923078585384943608e+03 9.188677173160879619e-01 5.277401557185272887e-03
1.923085154445108628e+03 9.224320384214588220e-01 5.301939066013704356e-03
1.923091723385944988e+03 9.203548220031969596e-01 5.291696208045657338e-03
1.923098292207448594e+03 9.246585795821151699e-01 5.336093203113192150e-03
1.923104860909615581e+03 9.216493464094527299e-01 5.311817082062183365e-03
1.923111429492442312e+03 9.185469967800330426e-01 5.306395493227328113e-03
1.923117997955924466e+03 9.130957058947992699e-01 5.360092648438450832e-03
1.923124566300057950e+03 9.192877777510177761e-01 5.296194883989288615e-03
1.923131134524839126e+03 9.109825605829634521e-01 5.258314695260093465e-03
1.923137702630263902e+03 9.174302349489831254e-01 5.360581173095753556e-03
1.923144270616327958e+03 9.152980070992501327e-01 5.309006008343227813e-03
1.923150838483027655e+03 9.182913074182097457e-01 5.264526099736460685e-03
1.923157406230358902e+03 9.176896062629567030e-01 5.268052218177023821e-03
1.923163973858317831e+03 9.159150561499430632e-01 5.254265337057167050e-03
1.923170541366900352e+03 9.188301310352147144e-01 5.267554400896321161e-03
1.923177108756102598e+03 9.140885806395508961e-01 5.241997999677142257e-03
1.923183676025920477e+03 9.238893143326305513e-01 5.356999929469781832e-03
1.923190243176349895e+03 9.165780240612029228e-01 5.271947600894203237e-03
1.923196810207386989e+03 9.157434736607041881e-01 5.277477635498450774e-03
1.923203377119027891e+03 9.127765201377054938e-01 5.275626155201161224e-03
1.923209943911268283e+03 9.133033215938685112e-01 5.266150378214213244e-03
1.923216510584104526e+03 9.063702184654289784e-01 5.221216758049089524e-03
1.923223077137532528e+03 9.118795415432565665e-01 5.285391132156238604e-03
1.923229643571548422e+03 9.050614801257150788e-01 5.249392649214209595e-03
1.923236209886147890e+03 9.140984823540714288e-01 5.244698024368224347e-03
1.923242776081327293e+03 9.117411560934851611e-01 5.249464901638295836e-03
1.923249342157082538e+03 9.101246598530929877e-01 5.241578082099251218e-03
1.923255908113409532e+03 9.111660736259370452e-01 5.267845335803392204e-03
1.923262473950304184e+03 9.086017505065879796e-01 5.286940437527610885e-03
1.923269039667763082e+03 9.013118716656572937e-01 5.224605464951966038e-03
1.923275605265781451e+03 9.094315436387871987e-01 5.305182829862701427e-03
1.923282170744356108e+03 8.971568632474686833e-01 5.189750943924496644e-03
1.923288736103482506e+03 9.013449749585191739e-01 5.201871477947144808e-03
1.923295301343156780e+03 9.021166486345584268e-01 5.210092600868169825e-03
1.923301866463374836e+03 8.929455329134626806e-01 5.182328094262309698e-03
1.923308431464133264e+03 8.953375572925588166e-01 5.207687205329700197e-03
1.923314996345427744e+03 8.985624373867620029e-01 5.223364525695950618e-03
