# Wlen(nm) Flux Flux_err
1.921600864566586552e+03 8.423287371880430752e-03 8.448940277448602340e-04
1.921607463950598003e+03 8.922197964519148344e-03 8.612233152921515899e-04
1.921614063203380510e+03 7.296012377370867351e-03 7.998540004072211482e-04
1.921620662324930663e+03 6.980637184281147239e-03 7.943392731266003554e-04
1.921627261315245505e+03 4.058797891980750819e-03 6.970951823047827128e-04
1.921633860174321853e+03 1.694843746304963272e-03 5.684901066501013480e-04
1.921640458902156979e+03 1.665728200661097547e-03 5.671435553093608735e-04
1.921647057498747927e+03 -1.018989362306463135e-03 5.538677502646802316e-04
1.921653655964091286e+03 1.595627720124329595e-03 5.506867529562013957e-04
1.921660254298184100e+03 2.643893460816258006e-03 5.919628300424636036e-04
1.921666852501023641e+03 2.032131247872984246e-03 5.645892582863216904e-04
1.921673450572606953e+03 2.527283710498541471e-03 5.931573835349560455e-04
1.921680048512930398e+03 1.019149764160110633e-03 5.786089876471342021e-04
1.921686646321991475e+03 2.776794622177805659e-04 5.042288209855934301e-04
1.921693243999787001e+03 7.442790401815024739e-04 5.973110643754739194e-04
1.921699841546314019e+03 1.436746644242364130e-03 6.139838627199686177e-04
1.921706438961569347e+03 -1.646730394860443174e-04 5.214757348946744966e-04
1.921713036245550256e+03 5.861651097851324106e-04 5.100165038264622844e-04
1.921719633398253109e+03 4.196105768044361937e-04 5.063970038911109681e-04
1.921726230419675858e+03 1.419953444904529941e-03 5.552476085761185679e-04
1.921732827309814411e+03 3.876685052883070259e-03 6.380844448988070563e-04
1.921739424068666494e+03 4.958229512696196023e-03 6.748060542567538376e-04
1.921746020696228697e+03 6.027458083704754360e-03 7.057873017048989488e-04
1.921752617192498519e+03 6.794750452904849483e-03 7.421838927746928155e-04
1.921759213557472094e+03 7.457025753976944185e-03 7.842914943510978206e-04
1.921765809791147376e+03 1.021803901359889799e-02 8.627768530765960115e-04
1.921772405893520272e+03 1.006623885550075523e-02 8.444239208543619091e-04
1.921779001864588736e+03 1.023028373675863301e-02 8.598058271782850134e-04
1.921785597704349357e+03 1.147038717583763294e-02 9.032360019330562236e-04
1.921792193412798724e+03 1.220408171950669585e-02 9.068644666345435697e-04
1.921798788989934337e+03 1.191351813141828218e-02 8.912582836132881521e-04
1.921805384435753012e+03 1.169545317099335117e-02 8.903632654106095326e-04
1.921811979750252021e+03 1.338838628962161353e-02 9.265624716346474842e-04
1.921818574933427499e+03 1.359220350579352574e-02 9.349735247334155404e-04
1.921825169985277171e+03 1.166786577967545736e-02 9.005090805471715467e-04
1.921831764905797854e+03 1.160137505707702077e-02 8.794023965951870778e-04
1.921838359694986593e+03 1.307992819944097870e-02 9.218872470099068097e-04
1.921844954352840205e+03 1.243082214427675483e-02 9.060135630374214826e-04
1.921851548879355505e+03 1.320720645196818768e-02 9.284249091417484971e-04
1.921858143274529994e+03 1.332764592761020994e-02 9.281191086904404730e-04
1.921864737538360032e+03 1.372001964172105126e-02 9.362787101102024341e-04
1.921871331670843119e+03 1.321071142284208771e-02 9.143860830062191906e-04
1.921877925671976072e+03 1.328507995565130287e-02 9.218603495345081486e-04
1.921884519541755708e+03 1.436683818898227931e-02 9.589364584437902765e-04
1.921891113280179070e+03 1.466046622356296375e-02 9.538702660502523583e-04
1.921897706887243203e+03 1.512609152331649900e-02 9.548377080945865932e-04
1.921904300362944923e+03 1.433677521403043005e-02 9.368666300122643203e-04
1.921910893707281502e+03 1.410900767637680506e-02 9.308770487298314612e-04
1.921917486920249530e+03 1.492446875621269986e-02 9.556236395244646978e-04
1.921924080001846733e+03 1.646134854106007933e-02 9.908193791204609243e-04
1.921930672952069017e+03 1.562388500357348928e-02 9.695190859480177581e-04
1.921937265770914109e+03 1.482094634915528432e-02 9.431592377520583298e-04
1.921943858458379054e+03 1.452224689493367658e-02 9.415770856419663657e-04
1.921950451014460214e+03 1.389695245605521677e-02 9.252900107924857736e-04
1.921957043439155086e+03 1.612517091426913032e-02 9.709149470521587222e-04
1.921963635732460489e+03 1.569304134278028812e-02 9.773338872918206806e-04
1.921970227894373238e+03 1.560665720983292308e-02 9.752088033655019212e-04
1.921976819924890606e+03 1.622910615698813785e-02 9.745600958105375298e-04
1.921983411824009409e+03 1.524919432350955312e-02 9.551151686651951789e-04
